game_id,season,week,gameday,team,off_epa,def_epa,plays,form_off_epa,form_def_epa,form_plays
2016_01_NE_ARI,2016,1,2016-09-11,ARI,0.17622554731680887,0.11660427756316182,59,,,
2016_02_TB_ARI,2016,2,2016-09-18,ARI,0.15753012357491294,-0.28918037953961495,65,,,
2016_03_ARI_BUF,2016,3,2016-09-25,ARI,-0.28367128680024467,-0.031090530278560447,78,,,
2016_04_LA_ARI,2016,4,2016-10-02,ARI,-0.1398665744196866,-0.11398580214751386,74,0.016694794697159048,-0.06788887741833786,67.33333333333333
2016_05_ARI_SF,2016,5,2016-10-06,ARI,-0.0077228528126106755,-0.1738261227980508,64,-0.022445547582052368,-0.07941310860063186,69.0
2016_06_NYJ_ARI,2016,6,2016-10-17,ARI,0.18273429458734908,-0.26646030307952634,68,-0.019501008628164028,-0.09829571144011565,68.0
2016_07_SEA_ARI,2016,7,2016-10-23,ARI,-0.09843021210745646,-0.1960953530945595,90,-0.018199259174055994,-0.17490862756865327,69.8
2016_08_ARI_CAR,2016,8,2016-10-30,ARI,-0.09135679304532421,-0.016724772591673584,65,-0.06939132631052987,-0.15629162227964216,74.8
2016_10_SF_ARI,2016,10,2016-11-13,ARI,-0.13549612981694714,-0.03044565217368166,73,-0.03092842755954578,-0.1534184707422648,72.2
2016_11_ARI_MIN,2016,11,2016-11-20,ARI,-0.23233254184879654,-0.12945957586464782,70,-0.030054338638997886,-0.13671044074749836,72.0
2016_12_ARI_ATL,2016,12,2016-11-27,ARI,-0.03155627860958911,0.12250109438300515,62,-0.07497627644623506,-0.12783713136081779,73.2
2016_13_WAS_ARI,2016,13,2016-12-04,ARI,0.2110759215435748,0.05977640760966453,70,-0.11783439108562269,-0.05004485186831148,72.0
2016_14_ARI_MIA,2016,14,2016-12-11,ARI,-0.2268286396893702,-0.12786343194416633,63,-0.05593316435541644,0.0011295002725333237,68.0
2016_15_NO_ARI,2016,15,2016-12-18,ARI,0.21354140886472203,0.2031691014972973,56,-0.08302753368422564,-0.021098231597965224,67.6
2016_16_ARI_SEA,2016,16,2016-12-24,ARI,0.09089793843596243,-0.013641482466773654,56,-0.0132200259478918,0.025624719136230566,64.2
2016_17_ARI_LA,2016,17,2017-01-01,ARI,0.032576602152214175,-0.7962772163639124,67,0.051426070109059994,0.0487883378158054,61.4
2017_01_ARI_DET,2017,1,2017-09-10,ARI,-0.284850697220739,-0.1380092866609023,68,0.06425264626142065,-0.1349673243335781,62.4
2017_02_ARI_IND,2017,2,2017-09-17,ARI,-0.04218540370940972,-0.15061040637606232,64,-0.03493267749144212,-0.17452446318769146,62.0
2017_03_DAL_ARI,2017,3,2017-09-25,ARI,-0.0641014437320275,0.09559513805222443,75,0.001995969704549974,-0.17907385807407064,62.2
2017_04_SF_ARI,2017,4,2017-10-01,ARI,-0.09863298056893072,-0.12626957227075633,78,-0.053532600814799935,-0.20058865076308524,66.0
